"","Year","Lg","G","W","L","Ties","W.L.","pythW.L.","Finish","GB","Playoffs","R","RA","Attendance","BatAge","PAge","X.Bat","X.P","Top.Player","Managers","Team","Popularity"
"483",1983,"NL West",162,85,77,0,52.5,0.498,"3rd of 6",6,"",643,646,1351962,29.1,30.4,33,13,"D.Thon (7.4)","B.Lillis (85-77)","Houston Astros","Unpopular"
"484",1982,"NL West",162,77,85,0,47.5,0.461,"5th of 6",12,"",569,620,1558555,29.4,31.8,38,16,"D.Thon (6.1)","B.Virdon (49-62) and B.Lillis (28-23)","Houston Astros","Unpopular"
"485",1981,"NL West",110,61,49,0,55.5,0.579,"3rd of 6",6,"Lost LDS (3-2)",394,331,1321282,28.9,31.1,37,12,"N.Ryan (5.1)","B.Virdon (61-49)","Houston Astros","Unpopular"
"486",1980,"NL West",163,93,70,0,57.1,0.536,"1st of 6",0,"Lost NLCS (3-2)",637,589,2278217,28.7,30.1,33,13,"T.Puhl (6.2)","B.Virdon (93-70)","Houston Astros","Popular"
"487",1979,"NL West",162,89,73,0,54.9,0.501,"2nd of 6",1,"",583,582,1900312,27.2,28.3,40,19,"J.Richard (5.4)","B.Virdon (89-73)","Houston Astros","Unpopular"
"488",1978,"NL West",162,74,88,0,45.7,0.479,"5th of 6",21,"",605,634,1126145,27.1,26.6,39,15,"J.Cruz (5.3)","B.Virdon (74-88)","Houston Astros","Unpopular"
"489",1977,"NL West",162,81,81,0,50,0.521,"3rd of 6",17,"",680,650,1109560,27.5,24.9,37,13,"J.Richard (5.6)","B.Virdon (81-81)","Houston Astros","Unpopular"
"490",1976,"NL West",162,80,82,0,49.4,0.477,"3rd of 6",22,"",625,657,886146,26.6,25.6,36,17,"C.Cedeno (5.9)","B.Virdon (80-82)","Houston Astros","Very unpopular"
"491",1975,"NL West",162,64,97,1,39.8,0.469,"6th of 6",43,"",664,711,858002,26.3,26.6,35,15,"C.Cedeno (4.4)","P.Gomez (47-80) and B.Virdon (17-17)","Houston Astros","Very unpopular"
"492",1974,"NL West",162,81,81,0,50,0.515,"4th of 6",21,"",653,632,1090728,26.8,27.6,35,15,"C.Cedeno (5.8)","P.Gomez (81-81)","Houston Astros","Unpopular"
"493",1973,"NL West",162,82,80,0,50.6,0.506,"4th of 6",17,"",681,672,1394004,28,26.3,39,15,"C.Cedeno (7.4)","L.Durocher (82-80)","Houston Astros","Unpopular"
"494",1972,"NL West",153,84,69,0,54.9,0.549,"3rd of 6",10,"",708,636,1469247,27.4,26.3,32,14,"C.Cedeno (8.0)","H.Walker (67-54), S.Parker (1-0) and L.Durocher (16-15)","Houston Astros","Unpopular"
"495",1971,"NL West",162,79,83,0,48.8,0.514,"4th of 6",11,"",585,567,1261589,26.1,26.5,36,17,"D.Wilson (6.1)","H.Walker (79-83)","Houston Astros","Unpopular"
"496",1970,"NL West",162,79,83,0,48.8,0.488,"4th of 6",23,"",744,763,1253444,26.6,26.3,38,17,"J.Wynn (4.9)","H.Walker (79-83)","Houston Astros","Unpopular"
"497",1969,"NL West",162,81,81,0,50,0.505,"5th of 6",12,"",676,668,1442995,26.5,25.6,37,18,"L.Dierker (8.4)","H.Walker (81-81)","Houston Astros","Unpopular"
"498",2018,"AL Central",162,58,104,0,35.8,0.38,"5th of 5",33,"",638,833,1665107,28.6,27.6,49,27,"W.Merrifield (5.5)","N.Yost (58-104)","Kansas City Royals","Unpopular"
"499",2017,"AL Central",162,80,82,0,49.4,0.446,"3rd of 5",22,"",702,791,2220370,28.9,30.3,49,29,"L.Cain (5.4)","N.Yost (80-82)","Kansas City Royals","Popular"
"500",2016,"AL Central",162,81,81,0,50,0.476,"3rd of 5",13,"",675,712,2557712,28.5,29.9,42,21,"I.Kennedy (3.9)","N.Yost (81-81)","Kansas City Royals","Popular"
"501",2015,"AL Central",162,95,67,0,58.6,0.555,"1st of 5",0,"Won WS (4-1)",724,641,2708549,29.1,30,45,24,"L.Cain (7.2)","N.Yost (95-67)","Kansas City Royals","Popular"
"502",2014,"AL Central",162,89,73,0,54.9,0.519,"2nd of 5",1,"Lost WS (4-3)",651,624,1956482,28.2,28.9,48,23,"A.Gordon (6.5)","N.Yost (89-73)","Kansas City Royals","Unpopular"
"503",2013,"AL Central",162,86,76,0,53.1,0.534,"3rd of 5",7,"",648,601,1750754,26.9,28.9,43,21,"J.Shields (4.4)","N.Yost (86-76)","Kansas City Royals","Unpopular"
"504",2012,"AL Central",162,72,90,0,44.4,0.455,"3rd of 5",16,"",676,746,1739859,26.1,27.3,46,25,"A.Gordon (6.3)","N.Yost (72-90)","Kansas City Royals","Unpopular"
"505",2011,"AL Central",162,71,91,0,43.8,0.48,"4th of 5",24,"",730,762,1724450,25.8,26.4,42,23,"A.Gordon (7.3)","N.Yost (71-91)","Kansas City Royals","Unpopular"
"506",2010,"AL Central",162,67,95,0,41.4,0.399,"5th of 5",27,"",676,845,1615327,28.9,27.5,46,25,"J.Soria (3.7)","T.Hillman (12-23) and N.Yost (55-72)","Kansas City Royals","Unpopular"
"507",2009,"AL Central",162,65,97,0,40.1,0.407,"4th of 5",21,"",686,842,1797891,27.6,28.7,43,23,"Z.Greinke (10.4)","T.Hillman (65-97)","Kansas City Royals","Unpopular"
"508",2008,"AL Central",162,75,87,0,46.3,0.444,"4th of 5",13,"",691,781,1578922,28,27.6,43,25,"Z.Greinke (5.3)","T.Hillman (75-87)","Kansas City Royals","Unpopular"
"509",2007,"AL Central",162,69,93,0,42.6,0.456,"5th of 5",27,"",706,778,1616867,28,27.1,45,23,"G.Meche (4.1)","B.Bell (69-93)","Kansas City Royals","Unpopular"
"510",2006,"AL Central",162,62,100,0,38.3,0.388,"5th of 5",34,"",757,971,1372638,29.7,27.7,55,31,"M.Teahen (3.7)","B.Bell (62-100)","Kansas City Royals","Unpopular"
"511",2005,"AL Central",162,56,106,0,34.6,0.371,"5th of 5",43,"",701,935,1371181,28.1,25.7,46,22,"D.DeJesus (4.4)","T.Pena (8-25), B.Schaefer (5-12) and B.Bell (43-69)","Kansas City Royals","Unpopular"
"512",2004,"AL Central",162,58,104,0,35.8,0.397,"5th of 5",34,"",720,905,1661478,29,27.4,58,25,"Z.Greinke (3.7)","T.Pena (58-104)","Kansas City Royals","Unpopular"
"513",2003,"AL Central",162,83,79,0,51.2,0.483,"3rd of 5",7,"",836,867,1779895,29.2,28,53,29,"D.May (5.9)","T.Pena (83-79)","Kansas City Royals","Unpopular"
"514",2002,"AL Central",162,62,100,0,38.3,0.414,"4th of 5",32,"",737,891,1323036,29.3,27.8,52,26,"P.Byrd (5.6)","T.Muser (8-15), J.Mizerock (5-8) and T.Pena (49-77)","Kansas City Royals","Unpopular"
"515",2001,"AL Central",162,65,97,0,40.1,0.426,"5th of 5",26,"",729,858,1536371,28.2,27.3,44,19,"C.Beltran (6.5)","T.Muser (65-97)","Kansas City Royals","Unpopular"
"516",2000,"AL Central",162,77,85,0,47.5,0.474,"4th of 5",18,"",879,930,1564847,27.6,25.8,44,24,"J.Damon (6.2)","T.Muser (77-85)","Kansas City Royals","Unpopular"
"517",1999,"AL Central",161,64,97,0,39.8,0.467,"4th of 5",32,"",856,921,1506068,26.9,26.9,50,27,"J.Damon (5.4)","T.Muser (64-97)","Kansas City Royals","Unpopular"
"518",1998,"AL Central",161,72,89,0,44.7,0.396,"3rd of 5",16,"",714,899,1494875,28.8,28.8,51,22,"J.Offerman (5.3)","T.Muser (72-89)","Kansas City Royals","Unpopular"
"519",1997,"AL Central",161,67,94,0,41.6,0.457,"5th of 5",19,"",747,820,1517638,28.8,27.6,51,25,"K.Appier (5.5)","B.Boone (36-46) and T.Muser (31-48)","Kansas City Royals","Unpopular"
"520",1996,"AL Central",161,75,86,0,46.6,0.476,"5th of 5",24,"",746,786,1435997,27.1,29,40,19,"K.Appier (5.9)","B.Boone (75-86)","Kansas City Royals","Unpopular"
"521",1995,"AL Central",144,70,74,0,48.6,0.457,"2nd of 5",30,"",629,691,1233530,29.1,28,51,21,"K.Appier (4.6)","B.Boone (70-74)","Kansas City Royals","Unpopular"
"522",1994,"AL Central",115,64,51,0,55.7,0.535,"3rd of 5",4,"",574,532,1400494,30.1,28,31,15,"D.Cone (6.9)","H.McRae (64-51)","Kansas City Royals","Unpopular"
"523",1993,"AL West",162,84,78,0,51.9,0.487,"3rd of 7",10,"",675,694,1934578,30.1,27.4,43,20,"K.Appier (9.3)","H.McRae (84-78)","Kansas City Royals","Unpopular"
"524",1992,"AL West",162,72,90,0,44.4,0.459,"5th of 7",24,"",610,667,1867689,28.9,27.1,42,22,"K.Appier (8.0)","H.McRae (72-90)","Kansas City Royals","Unpopular"
"525",1991,"AL West",162,82,80,0,50.6,0.503,"6th of 7",13,"",727,722,2161537,28.6,27.6,45,19,"B.Saberhagen (5.1)","J.Wathan (15-22), B.Schaefer (1-0) and H.McRae (66-58)","Kansas City Royals","Popular"
"526",1990,"AL West",161,75,86,0,46.6,0.499,"6th of 7",27,"",707,709,2244956,29.8,27.3,46,23,"K.Appier (5.3)","J.Wathan (75-86)","Kansas City Royals","Popular"
"527",1989,"AL West",162,92,70,0,56.8,0.538,"2nd of 7",7,"",690,635,2477700,30.5,27.7,36,17,"B.Saberhagen (9.7)","J.Wathan (92-70)","Kansas City Royals","Popular"
"528",1988,"AL West",161,84,77,0,52.2,0.538,"3rd of 7",19,"",704,648,2350181,29.5,29,41,17,"M.Gubicza (7.7)","J.Wathan (84-77)","Kansas City Royals","Popular"
"529",1987,"AL West",162,83,79,0,51.2,0.516,"2nd of 7",2,"",715,691,2392471,29.3,27.4,38,15,"B.Saberhagen (8.0)","B.Gardner (62-64) and J.Wathan (21-15)","Kansas City Royals","Popular"
"530",1986,"AL West",162,76,86,0,46.9,0.487,"3rd of 7",16,"",654,673,2320794,30.9,27.3,36,13,"G.Brett (4.0)","D.Howser (40-48) and M.Ferraro (36-38)","Kansas City Royals","Popular"
"531",1985,"AL West",162,91,71,0,56.2,0.533,"1st of 7",0,"Won WS (4-3)",687,639,2162717,30.9,26.1,35,14,"G.Brett (8.3)","D.Howser (91-71)","Kansas City Royals","Popular"
"532",1984,"AL West",162,84,78,0,51.9,0.491,"1st of 7",0,"Lost ALCS (3-0)",673,686,1810018,29.5,26.9,36,13,"B.Black (4.5)","D.Howser (84-78)","Kansas City Royals","Unpopular"
"533",1983,"AL West",163,79,83,1,48.8,0.456,"2nd of 7",20,"",696,767,1963875,30.2,32.2,38,18,"D.Quisenberry (5.5)","D.Howser (79-83)","Kansas City Royals","Unpopular"
"534",1982,"AL West",162,90,72,0,55.6,0.541,"2nd of 7",3,"",784,717,2284464,30.4,30.9,39,15,"W.Wilson (6.3)","D.Howser (90-72)","Kansas City Royals","Popular"
"535",1981,"AL West",103,50,53,0,48.5,0.491,"4th of 7",11,"Lost LDS (3-0)",397,405,1279403,29.2,28.8,35,13,"W.Wilson (4.1)","J.Frey (30-40) and D.Howser (20-13)","Kansas City Royals","Unpopular"
"536",1980,"AL West",162,97,65,0,59.9,0.57,"1st of 7",0,"Lost WS (4-2)",809,694,2288714,27.7,29.1,37,15,"G.Brett (9.4)","J.Frey (97-65)","Kansas City Royals","Popular"
"537",1979,"AL West",162,85,77,0,52.5,0.519,"2nd of 7",3,"",851,816,2261845,27.9,28.9,38,17,"G.Brett (8.6)","W.Herzog (85-77)","Kansas City Royals","Popular"
"538",1978,"AL West",162,92,70,0,56.8,0.572,"1st of 7",0,"Lost ALCS (3-1)",743,634,2255493,27.2,28.7,38,15,"A.Otis (7.4)","W.Herzog (92-70)","Kansas City Royals","Popular"
"539",1977,"AL West",162,102,60,0,63,0.605,"1st of 7",0,"Lost ALCS (3-2)",822,651,1852603,27.6,28.4,33,13,"G.Brett (7.6)","W.Herzog (102-60)","Kansas City Royals","Unpopular"
"540",1976,"AL West",162,90,72,0,55.6,0.57,"1st of 6",0,"Lost ALCS (3-2)",713,611,1680265,27,27.6,37,17,"G.Brett (7.5)","W.Herzog (90-72)","Kansas City Royals","Unpopular"
"541",1975,"AL West",162,91,71,0,56.2,0.541,"2nd of 6",7,"",710,649,1151836,28.1,28.1,32,14,"J.Mayberry (7.2)","J.McKeon (50-46) and W.Herzog (41-25)","Kansas City Royals","Unpopular"
"542",1974,"AL West",162,77,85,0,47.5,0.503,"5th of 6",13,"",667,662,1173292,27.4,28.6,34,13,"S.Busby (6.5)","J.McKeon (77-85)","Kansas City Royals","Unpopular"
"543",1973,"AL West",162,88,74,0,54.3,0.502,"2nd of 6",6,"",755,752,1345341,27.6,25.9,39,16,"J.Mayberry (5.2)","J.McKeon (88-74)","Kansas City Royals","Unpopular"
"544",1972,"AL West",154,76,78,0,49.4,0.528,"4th of 6",16,"",580,545,707656,27.7,27.4,34,15,"J.Mayberry (4.9)","B.Lemon (76-78)","Kansas City Royals","Very unpopular"
"545",1971,"AL West",161,85,76,0,52.8,0.529,"2nd of 6",16,"",603,566,910784,27.2,26.7,35,16,"A.Otis (5.3)","B.Lemon (85-76)","Kansas City Royals","Very unpopular"
"546",1970,"AL West",162,65,97,0,40.1,0.435,"4th of 6",33,"",611,705,693047,26.4,26.2,38,17,"B.Johnson (4.3)","C.Metro (19-33) and B.Lemon (46-64)","Kansas City Royals","Very unpopular"
"547",1969,"AL West",163,69,93,1,42.6,0.427,"4th of 6",28,"",586,688,902414,25.7,25.2,39,16,"W.Bunker (4.3)","J.Gordon (69-93)","Kansas City Royals","Very unpopular"
"548",2018,"AL West",162,80,82,0,49.4,0.499,"4th of 5",23,"",721,722,3020216,29.5,27.5,60,35,"M.Trout (10.2)","M.Scioscia (80-82)","Los Angeles Angels","Very popular"
"549",2017,"AL West",162,80,82,0,49.4,0.501,"2nd of 5",21,"",710,709,3019585,29.9,29.1,55,31,"A.Simmons (7.0)","M.Scioscia (80-82)","Los Angeles Angels","Very popular"
"550",2016,"AL West",162,74,88,0,45.7,0.494,"4th of 5",21,"",717,727,3016142,28.5,28.4,53,30,"M.Trout (10.5)","M.Scioscia (74-88)","Los Angeles Angels","Very popular"
"551",2015,"AL West",162,85,77,0,52.5,0.49,"3rd of 5",3,"",661,675,3012765,28.7,28.3,51,25,"M.Trout (9.4)","M.Scioscia (85-77)","Los Angeles Angels","Very popular"
"552",2014,"AL West",162,98,64,0,60.5,0.593,"1st of 5",0,"Lost LDS (3-0)",773,630,3095935,29.3,28.4,54,31,"M.Trout (7.6)","M.Scioscia (98-64)","Los Angeles Angels","Very popular"
"553",2013,"AL West",162,78,84,0,48.1,0.498,"3rd of 5",18,"",733,737,3019505,27.8,29.1,49,26,"M.Trout (9.0)","M.Scioscia (78-84)","Los Angeles Angels","Very popular"
"554",2012,"AL West",162,89,73,0,54.9,0.542,"3rd of 4",5,"",767,699,3061770,28.7,30.1,44,23,"M.Trout (10.5)","M.Scioscia (89-73)","Los Angeles Angels","Very popular"
"555",2011,"AL West",162,86,76,0,53.1,0.524,"2nd of 4",10,"",667,633,3166321,28.9,28.4,43,21,"J.Weaver (6.9)","M.Scioscia (86-76)","Los Angeles Angels","Very popular"
"556",2010,"AL West",162,80,82,0,49.4,0.486,"3rd of 4",10,"",681,702,3250814,29.7,28.3,46,21,"J.Weaver (5.3)","M.Scioscia (80-82)","Los Angeles Angels","Very popular"
"557",2009,"AL West",162,97,65,0,59.9,0.568,"1st of 4",0,"Lost ALCS (4-2)",883,761,3240386,29.6,28.6,46,25,"C.Figgins (7.7)","M.Scioscia (97-65)","Los Angeles Angels","Very popular"
"558",2008,"AL West",162,100,62,0,61.7,0.542,"1st of 4",0,"Lost LDS (3-1)",765,697,3336747,29,27.6,41,19,"E.Santana (5.0)","M.Scioscia (100-62)","Los Angeles Angels","Very popular"
"559",2007,"AL West",162,94,68,0,58,0.553,"1st of 4",0,"Lost LDS (3-0)",822,731,3365632,28.6,28.4,42,18,"J.Lackey (6.2)","M.Scioscia (94-68)","Los Angeles Angels","Very popular"
"560",2006,"AL West",162,89,73,0,54.9,0.521,"2nd of 4",4,"",766,732,3406790,28.8,27.9,40,18,"J.Weaver (4.7)","M.Scioscia (89-73)","Los Angeles Angels","Very popular"
"561",2005,"AL West",162,95,67,0,58.6,0.576,"1st of 4",0,"Lost ALCS (4-1)",761,643,3404686,29.8,28.5,40,18,"V.Guerrero (5.7)","M.Scioscia (95-67)","Los Angeles Angels","Very popular"
"562",2004,"AL West",162,92,70,0,56.8,0.559,"1st of 4",0,"Lost LDS (3-0)",836,734,3375677,28.9,29,38,16,"V.Guerrero (5.6)","M.Scioscia (92-70)","Los Angeles Angels","Very popular"
"563",2003,"AL West",162,77,85,0,47.5,0.496,"3rd of 4",19,"",736,743,3061094,29.1,29,43,19,"G.Anderson (4.0)","M.Scioscia (77-85)","Los Angeles Angels","Very popular"
"564",2002,"AL West",162,99,63,0,61.1,0.625,"2nd of 4",4,"Won WS (4-3)",851,644,2305547,28.3,30.2,40,18,"D.Erstad (6.4)","M.Scioscia (99-63)","Los Angeles Angels","Popular"
"565",2001,"AL West",162,75,87,0,46.3,0.475,"3rd of 4",41,"",691,730,2000919,27.9,28.9,38,18,"T.Glaus (5.2)","M.Scioscia (75-87)","Los Angeles Angels","Popular"
"566",2000,"AL West",162,82,80,0,50.6,0.497,"3rd of 4",9,"",864,869,2066982,27.6,28.9,45,25,"D.Erstad (8.3)","M.Scioscia (82-80)","Los Angeles Angels","Popular"
"567",1999,"AL West",162,70,92,0,43.2,0.432,"4th of 4",25,"",711,826,2253123,28.6,31.5,45,20,"R.Velarde (4.2)","T.Collins (51-82) and J.Maddon (19-10)","Los Angeles Angels","Popular"
"568",1998,"AL West",162,85,77,0,52.5,0.502,"2nd of 4",3,"",787,783,2519280,28.7,29.8,45,19,"C.Finley (7.1)","T.Collins (85-77)","Los Angeles Angels","Popular"
"569",1997,"AL West",162,84,78,0,51.9,0.52,"2nd of 4",6,"",829,794,1767330,29.8,28.3,43,21,"T.Salmon (5.0)","T.Collins (84-78)","Los Angeles Angels","Unpopular"
"570",1996,"AL West",161,70,91,0,43.5,0.404,"4th of 4",19,"",762,943,1820521,29.3,29.1,52,30,"J.Edmonds (5.0)","M.Lachemann (52-59), J.McNamara (10-18) and J.Maddon (8-14)","Los Angeles Angels","Unpopular"
"571",1995,"AL West",145,78,67,0,53.8,0.563,"2nd of 4",1,"",801,697,1748680,28.8,30.7,45,20,"T.Salmon (6.6)","M.Lachemann (78-67)","Los Angeles Angels","Unpopular"
"572",1994,"AL West",115,47,68,0,40.9,0.412,"4th of 4",5,"",543,660,1512622,27.7,28.9,37,18,"C.Finley (3.4)","B.Rodgers (16-24) and M.Lachemann (31-44)","Los Angeles Angels","Unpopular"
"573",1993,"AL West",162,71,91,0,43.8,0.446,"5th of 7",23,"",684,770,2057460,27.2,28.8,46,24,"M.Langston (8.5)","B.Rodgers (71-91)","Los Angeles Angels","Popular"
"574",1992,"AL West",162,72,90,0,44.4,0.433,"5th of 7",24,"",579,671,2065444,28.1,28.8,41,16,"J.Abbott (5.7)","B.Rodgers (33-40) and J.Wathan (39-50)","Los Angeles Angels","Popular"
"575",1991,"AL West",162,81,81,0,50,0.503,"7th of 7",14,"",653,649,2416236,30.9,27.9,42,17,"J.Abbott (7.6)","D.Rader (61-63) and B.Rodgers (20-18)","Los Angeles Angels","Popular"
"576",1990,"AL West",162,80,82,0,49.4,0.49,"4th of 7",23,"",690,706,2555688,29.9,28.1,43,20,"C.Finley (7.7)","D.Rader (80-82)","Los Angeles Angels","Popular"
"577",1989,"AL West",162,91,71,0,56.2,0.566,"3rd of 7",8,"",669,578,2647291,29.8,29.1,37,15,"B.Blyleven (6.0)","D.Rader (91-71)","Los Angeles Angels","Popular"
"578",1988,"AL West",162,75,87,0,46.3,0.465,"4th of 7",29,"",714,771,2340925,29.6,27.4,44,19,"D.Schofield (3.7)","C.Rojas (75-79) and M.Stubing (0-8)","Los Angeles Angels","Popular"
"579",1987,"AL West",162,75,87,0,46.3,0.481,"6th of 7",10,"",770,803,2696299,29.3,30.8,37,16,"D.White (5.6)","G.Mauch (75-87)","Los Angeles Angels","Popular"
"580",1986,"AL West",162,92,70,0,56.8,0.563,"1st of 7",0,"Lost ALCS (4-3)",786,684,2655872,31.8,30.3,38,19,"M.Witt (6.1)","G.Mauch (92-70)","Los Angeles Angels","Popular"
"581",1985,"AL West",162,90,72,0,55.6,0.518,"2nd of 7",1,"",732,703,2567427,32.3,28.3,41,19,"G.Pettis (3.8)","G.Mauch (90-72)","Los Angeles Angels","Popular"
"582",1984,"AL West",162,81,81,0,50,0.499,"2nd of 7",3,"",696,697,2402997,31.7,31,37,18,"M.Witt (4.6)","J.McNamara (81-81)","Los Angeles Angels","Popular"
"583",1983,"AL West",162,70,92,0,43.2,0.465,"5th of 7",29,"",722,779,2555016,31.4,32.5,39,16,"B.Grich (4.3)","J.McNamara (70-92)","Los Angeles Angels","Popular"
"584",1982,"AL West",162,93,69,0,57.4,0.588,"1st of 7",0,"Lost ALCS (3-2)",814,670,2807360,32.4,31.8,37,17,"D.DeCinces (7.6)","G.Mauch (93-69)","Los Angeles Angels","Popular"
"585",1981,"AL West",110,51,59,0,46.4,0.523,"5th of 7",13,"",476,453,1441545,30.5,30,37,16,"B.Grich (5.5)","J.Fregosi (22-25) and G.Mauch (29-34)","Los Angeles Angels","Unpopular"
"586",1980,"AL West",160,65,95,0,40.6,0.44,"6th of 7",31,"",698,797,2297327,29.1,27,41,17,"B.Grich (4.2)","J.Fregosi (65-95)","Los Angeles Angels","Popular"
"587",1979,"AL West",162,88,74,0,54.3,0.555,"1st of 7",0,"Lost ALCS (3-1)",866,768,2523575,28.4,27.5,39,15,"B.Grich (6.0)","J.Fregosi (88-74)","Los Angeles Angels","Popular"
"588",1978,"AL West",162,87,75,0,53.7,0.517,"2nd of 7",5,"",691,666,1755386,27.8,26.6,32,13,"B.Grich (3.5)","D.Garcia (25-21) and J.Fregosi (62-54)","Los Angeles Angels","Unpopular"
"589",1977,"AL West",162,74,88,0,45.7,0.487,"5th of 7",28,"",675,695,1432633,26.5,27.3,45,20,"F.Tanana (8.3)","N.Sherry (39-42) and D.Garcia (35-46)","Los Angeles Angels","Unpopular"
"590",1976,"AL West",162,76,86,0,46.9,0.437,"4th of 6",14,"",550,631,1006774,26.7,26.2,42,14,"F.Tanana (7.5)","D.Williams (39-57) and N.Sherry (37-29)","Los Angeles Angels","Unpopular"
"591",1975,"AL West",161,72,89,0,44.7,0.436,"6th of 6",25,"",628,723,1058163,25.6,26.3,48,19,"F.Tanana (7.3)","D.Williams (72-89)","Los Angeles Angels","Unpopular"
"592",1974,"AL West",163,68,94,1,42,0.472,"6th of 6",22,"",618,657,917269,27.6,25.6,45,20,"N.Ryan (5.9)","B.Winkles (30-44), W.Herzog (2-2) and D.Williams (36-48)","Los Angeles Angels","Very unpopular"
"593",1973,"AL West",162,79,83,0,48.8,0.48,"4th of 6",15,"",629,657,1058206,29.7,28.3,40,14,"N.Ryan (7.7)","B.Winkles (79-83)","Los Angeles Angels","Unpopular"
"594",1972,"AL West",155,75,80,0,48.4,0.427,"5th of 6",18,"",454,533,744190,29.1,27.5,40,16,"N.Ryan (6.3)","D.Rice (75-80)","Los Angeles Angels","Very unpopular"
"595",1971,"AL West",162,76,86,0,46.9,0.445,"4th of 6",25,"",511,576,926373,27.7,26.4,36,14,"S.Alomar (5.2)","L.Phillips (76-86)","Los Angeles Angels","Very unpopular"
"596",1970,"AL West",162,86,76,0,53.1,0.501,"3rd of 6",12,"",631,630,1077741,26.6,26,40,16,"J.Fregosi (7.7)","L.Phillips (86-76)","Los Angeles Angels","Unpopular"
"597",1969,"AL West",163,71,91,1,43.8,0.405,"3rd of 6",26,"",528,652,758388,26.1,26.6,45,19,"A.Messersmith (5.6)","B.Rigney (11-28) and L.Phillips (60-63)","Los Angeles Angels","Very unpopular"
"598",2018,"NL West",163,92,71,0,56.4,0.624,"1st of 5",0,"Lost WS (4-1)",804,610,3857500,28.1,29.2,52,31,"J.Turner (4.5)","D.Roberts (92-71)","Los Angeles Dodgers","Very popular"
"599",2017,"NL West",162,104,58,0,64.2,0.627,"1st of 5",0,"Lost WS (4-3)",770,580,3765856,27.9,29.7,52,26,"J.Turner (5.8)","D.Roberts (104-58)","Los Angeles Dodgers","Very popular"
"600",2016,"NL West",162,91,71,0,56.2,0.558,"1st of 5",0,"Lost NLCS (4-2)",725,638,3703312,28.9,28.9,55,31,"C.Kershaw (6.1)","D.Roberts (91-71)","Los Angeles Dodgers","Very popular"
"601",2015,"NL West",162,92,70,0,56.8,0.552,"1st of 5",0,"Lost LDS (3-2)",667,595,3764815,29.5,28.1,55,31,"Z.Greinke (9.7)","D.Mattingly (92-70)","Los Angeles Dodgers","Very popular"
"602",2014,"NL West",162,94,68,0,58,0.569,"1st of 5",0,"Lost LDS (3-1)",718,617,3782337,29.3,29.9,49,25,"C.Kershaw (8.2)","D.Mattingly (94-68)","Los Angeles Dodgers","Very popular"
"603",2013,"NL West",162,92,70,0,56.8,0.55,"1st of 5",0,"Lost NLCS (4-2)",649,582,3743527,30.6,28.1,49,27,"C.Kershaw (8.5)","D.Mattingly (92-70)","Los Angeles Dodgers","Very popular"
"604",2012,"NL West",162,86,76,0,53.1,0.53,"2nd of 5",8,"",637,597,3324246,30.4,29,50,25,"C.Kershaw (6.8)","D.Mattingly (86-76)","Los Angeles Dodgers","Very popular"
"605",2011,"NL West",161,82,79,0,50.9,0.523,"3rd of 5",11,"",644,612,2935139,29.8,28.6,48,21,"M.Kemp (8.0)","D.Mattingly (82-79)","Los Angeles Dodgers","Popular"
"606",2010,"NL West",162,80,82,0,49.4,0.483,"4th of 5",12,"",667,692,3562320,30.3,28.1,49,24,"C.Kershaw (5.2)","J.Torre (80-82)","Los Angeles Dodgers","Very popular"
"607",2009,"NL West",162,95,67,0,58.6,0.61,"1st of 5",0,"Lost NLCS (4-1)",780,611,3761655,29.7,27.8,47,25,"M.Kemp (4.9)","J.Torre (95-67)","Los Angeles Dodgers","Very popular"
"608",2008,"NL West",162,84,78,0,51.9,0.535,"1st of 5",0,"Lost NLCS (4-1)",700,648,3730553,28.5,29.5,46,22,"C.Billingsley (4.5)","J.Torre (84-78)","Los Angeles Dodgers","Very popular"
"609",2007,"NL West",162,82,80,0,50.6,0.505,"4th of 5",8,"",735,727,3857036,29.7,31.1,45,22,"B.Penny (6.6)","G.Little (82-80)","Los Angeles Dodgers","Very popular"
"610",2006,"NL West",162,88,74,0,54.3,0.54,"2nd of 5",0,"Lost LDS (3-0)",820,751,3758545,29.9,30.4,50,22,"D.Lowe (4.6)","G.Little (88-74)","Los Angeles Dodgers","Very popular"
"611",2005,"NL West",162,71,91,0,43.8,0.456,"4th of 5",11,"",685,755,3603646,28.7,28.5,44,20,"J.Kent (3.8)","J.Tracy (71-91)","Los Angeles Dodgers","Very popular"
"612",2004,"NL West",162,93,69,0,57.4,0.549,"1st of 5",0,"Lost LDS (3-1)",761,684,3488283,28.9,29.5,43,22,"A.Beltre (9.6)","J.Tracy (93-69)","Los Angeles Dodgers","Very popular"
"613",2003,"NL West",162,85,77,0,52.5,0.515,"2nd of 5",15,"",574,556,3138626,29.9,31.2,44,19,"K.Brown (4.5)","J.Tracy (85-77)","Los Angeles Dodgers","Very popular"
